S.No.,COMPANY NAME,DATE OF REGISTRATION,STATE,ROC,COMPANY STATUS,CATEGORY,CLASS,COMPANY TYPE, AUTHORIZED CAPITAL , PAIDUP CAPITAL ,ACTIVITY CODE,ACTIVITY DESCRIPTION,REGISTERED OFFICE ADDRESS,EMAIL
68,NUBLO GLOBAL INDIA PRIVATE LIMITED,13-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 5,00,000 ",62,Other information technology and computer service activities n.e.c,"HD-186, WeWork Prestige Atlanta, 80 Feet Main Road,,1A Block, Industrial Layout,,Bangalore South, Bangalore, Karnataka, India - 560034",info@indamicus.in
69,MERATIVE TECHNOLOGIES INDIA PRIVATE LIMITED,16-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Other information technology and computer service activities n.e.c,"3rd FLOOR # 52, MFAR MANYATA TECH PARK,NAGAVARA,Bangalore North, Bangalore, Karnataka, India - 560045",ram.c.dash@merative.com
70,APPEQPLUS INDIA PRIVATE LIMITED,16-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 1,00,000 ",62,Providing software support and maintenance to the clients,"NO 677, 1ST FLOOR 27TH MAIN, 13TH CROSS,, HSR LAYOUT, SECTOR 1. BANGALORE, KARNATAKA -,Bangalore South, Bangalore, Karnataka, India - 560102",rajat@appeq.ai
71,GARJE CLOUD INDIA PRIVATE LIMITED,16-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c," FLAT 401 PLOT NO 15,16&17,SECTOR 10A NERUL,Thane, Thane, Maharashtra, India - 400706",info@rkscloud.com
72,UPH DIGITAL HEALTH SERVICES PRIVATE LIMITED,16-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 50,00,000 "," ? 10,00,000 ",86,Other human health activities n.e.c. (including independent ambulance activities),"Innov8 CP2, 44,Backary Portion, Second Floor, Regal Building,New Delhi, Central Delhi, Delhi, India - 110001",ajay.arora@uphealthinc.com
73,SQUARERISK TECHNOLOGIES PRIVATE LIMITED,17-04-2023,Madhya Pradesh,ROC Gwalior,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","41-42 PU 4 scheme no. 54,,Behind,  C21 Mall,,Indore, Indore, Madhya Pradesh, India - 452010",finance@squarerisk.com
74,MIDGARD DESIGN INDIA PRIVATE LIMITED,17-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 50,00,000 "," ? 50,00,000 ",71,Architectural and engineering activities and related technical consultancy,"501, 5th Floor, Shapath-1, SG Highway,,,Ahmadabad City, Ahmedabad, Gujarat, India - 380054",Gary.Higgens@jrlgroup.co.uk
75,MATHYDRO INDIA PRIVATE LIMITED,17-04-2023,Punjab,ROC Chandigarh,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 6,00,00,000 "," ? 6,00,00,000 ",,,"Unit No. 12E/F, 3rd Floor, Motiaz Royal,Business Park, Ambala Highway, Zirakpur,Rajpura, Mohali, Punjab, India - 140603",deepanshu2103@gmail.com
76,FINVA TECH PRIVATE LIMITED,17-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",58,Publishing of operating systems and system software,"Shri Nivas"", H 2, Balkrishna, 142/6, Jai Prakash Road,,Opposite 7 Bunglows Bus Depot, Next to Versova Metro Station, Andheri West,,Mumbai, Mumbai, Maharashtra, India - 400053",krsri@hotmail.com
77,FLOATBOTAI INDIA PRIVATE LIMITED,17-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"206, Madhav Darshan Complex,,Waghwadi Road, Bhavnagar,Bhavnagar, Bhavnagar, Gujarat, India - 364001",jimmy.padia@floatbot.ai
78,ICCT INDIA CLEAN TRANSPORTATION RESEARCH PRIVATE LIMITED,17-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",72,Research   and   experimental   development   on   natural   sciences   and engineering,"Innov8 CP2, 44, Backary Portion, 2nd Floor,Regal Building,New Delhi, Central Delhi, Delhi, India - 110001",a.bhatt@theicct.org
79,OMK STEEL INDIA PRIVATE LIMITED,17-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 85,00,000 "," ? 85,00,000 ",46,Wholesale of metals and metal ores,"1101-A, 11th Floor, Emaar Capital Tower-2,MG RD, Sector-26,,Dlf Qe, Gurgaon, Haryana, India - 122002",dsa.delhi2008@gmail.com
80,AVITR TECHNOLOGIES INDIA PRIVATE LIMITED,17-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",58,Publishing of operating systems and system software,"Flat 401, S No 5/20, Ravideep Residency, Benkar Mala, Dhayri,,,Pune City, Pune, Maharashtra, India - 411041",ravindra.jore@gmail.com
81,SWISSARK TECHNOLOGIES PRIVATE LIMITED,18-04-2023,Andhra Pradesh,ROC Vijayawada,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Flat No 23B-6-24,Pathebad,Eluru, West Godavari, Andhra Pradesh, India - 534002",krishna.bandili@aarktech.uk
82,EASII IC INDIA PRIVATE LIMITED,18-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Providing software support and maintenance to the clients,"OFFICE NO 1013, GANESH GLORY,OPP BSNL OFFICE SG HIGHWAY, JAGATPUR,Ahmadabad City, Ahmedabad, Gujarat, India - 382470",vrajesh.bhavsar@easii-ic.com
83,NEW EAGLE INDIA PRIVATE LIMITED,18-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",26,Manufacture of other electronic components n.e.c,"1-60/2/9, Plot No.29, 1st Floor,Gafoornagar,Shaikpet, Hyderabad, Telangana, India - 500081",kkolla@neweagle.net
84,CHASE TALENT SOLUTIONS (INDIA) PRIVATE LIMITED,18-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",78,Activities of employment placement agencies,"B 215, 2nd Floor, Block-B, Sector 71, Noida,,Dadri, Gautam Buddha Nagar, Uttar Pradesh, India - 201307",cs@setindiabiz.com
85,LIB METALS PROCESSING INDIA PRIVATE LIMITED,18-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",09,Support activities for other mining and quarrying,"A-74, Ground Floor, Meera Bagh,,New Delhi, West Delhi, Delhi, India - 110087",vknangia@rka.co.in
86,TUSSLE DIGITAL PRIVATE LIMITED,18-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"455, Fourth Floor, Metro Aggarwal Heights,Netaji Subhash Place, Pitampura,Delhi, North West Delhi, Delhi, India - 110034",PARTH@TUSSLEDIGITAL.COM
87,MALIBAN BISCUIT ASIA PRIVATE LIMITED,18-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 10,00,000 ",10,"Manufacture of biscuits, cakes, pastries, rusks etc.","First Floor, 6/12,,Primrose Road,,Bangalore North, Bangalore, Karnataka, India - 560025",maliban.asia@malibangroup.lk
88,CYTOSORBENTS INDIA PRIVATE LIMITED,18-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 2,80,00,000 "," ? 2,80,00,000 ",46,"Wholesale of scientific, medical and surgical machinery and equipment","No. 26/A, Hegmel House, 2nd Floor, KPTCL Main Road,Kasavanahalli, Off Sarjapur Road,Bangalore South, Bangalore, Karnataka, India - 560102",cipl@cytosorbents.com
89,ACV AUTO AUCTIONS INDIA PRIVATE LIMITED,18-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"29, Bannari Amman Towers, 2nd Floor,Block A, Dr. Radhakri Salai,Chennai, Chennai, Tamil Nadu, India - 600004",notices@acvauctions.com
90,HYCU INDIA PRIVATE LIMITED,19-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"No. 231, 3rd Cross, 5th Main,MKS Layout 1st Stage, Doddakallasandra,Bangalore South, Bangalore, Karnataka, India - 560062",complianceinfo@bdo.in
91,HECTAR INDIA TRADING PRIVATE LIMITED,19-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",46,Wholesale of other basic/manufactured food stuffs n.e.c.,"NEW NO 5 OLD NO 3,NANDANAM 1ST STREET,Chennai City Corporation, Chennai, Tamil Nadu, India - 600035",sri@hectar.global
92,SUEK INDIA PRIVATE LIMITED,19-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,00,000 "," ? 50,00,000 ",46,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals","401, A Wing, Bhoomi Legends,Opp. Samta Nagar Police station,Kandivali East, Mumbai, Maharashtra, India - 400101",elias.chibani@black-sand-commodities.ae
93,BORGWARNER INDIA TECHNICAL CENTER PRIVATE LIMITED,19-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",71,Technical testing and analysis,"PRIMECO UNIONCITY, 901, 9th Floor and G-01 Ground Floor,Block B, Plot no. 18,19A & 19B Sy.no. 76 and 86, Sadaramangala Industrial Area, Whitefield Main Rd,Hosakote, Bangalore Rural, Karnataka, India - 560067",dsimili@borgwarner.com
94,FUTURE INDIA ADVANCED ELECTRONICS PRIVATE LIMITED,19-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,00,000 "," ? 20,00,000 ",46,Other non-specialised wholesale trade n.e.c.,"Sy No. 129/4, The Oak-Kalyani Platina, 5th Floor,Kundalahalli Village,Bangalore South, Bangalore, Karnataka, India - 560066",Info-Finance-IN@FutureElectronics.com
95,LUMINA BRANDS INDIA PRIVATE LIMITED,19-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 7,00,000 "," ? 1,00,000 ",47,Retail sale of perfumery and cosmetic articles,"D.No. - 2-2-186/18/5F, No. - 102,Muppidi Mansion, R.K.Nagar,Bagh Amberpet,Amberpet, Hyderabad, Telangana, India - 500013",luminabrandsindia@gmail.com
96,TERRABYTE TECHNOLOGIES PRIVATE LIMITED,19-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 50,000 ",62,Other information technology and computer service activities n.e.c,"No.1326, P.V.R & L.M.R Building,,24th Main road, Sector -2, HSR Layout,Bangalore South, Bangalore, Karnataka, India - 560102",vivek@letsterra.com
97,DELRIN SPECIALTY INDIA PRIVATE LIMITED,20-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",22,Manufacture  of  moulded  industrial  accessories  of  plastics electrical insulating fittings of plastics],"SF/210, Orchid Plaza, B/H McDonalds,Sama Savli Road, Vemali Village,Vadodara, Vadodara, Gujarat, India - 390008",divya.yadav@dupont.com
98,EDELSTEIN SHARED SERVICES PRIVATE LIMITED,20-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 60,00,000 "," ? 60,00,000 ",82,Other business support service activities n.e.c.,"301 3rd Flr  Rupani Baug,Prime 317 Nanda Patkar Road Vile Parle East,Mumbai, Mumbai, Maharashtra, India - 400057",edelsteinsspl@edelsteincpa.com
99,7DXPERTS INDIA PRIVATE LIMITED,20-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"No. 29, Samruddhi, Flat NO 102,,First Floor, 9th Main, 14th Cross, HSR Layout, Sector-6,Bangalore South, Bangalore, Karnataka, India - 560102",veluswamy.vinay@gmail.com
100,CAPACITYCO PRIVATE LIMITED,20-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"PLOT NO D-107,SECTOR 2,Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Pratul.Gautam@hellokindred.com
101,DIGISTAIN INDIA PRIVATE LIMITED,20-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",86,Activities of independent diagnostic/pathological laboratories,"A-2, Second Floor,Adel Divine court, sector-76,Ballabgarh, Faridabad, Haryana, India - 121004",deurloonicholas@gmail.com
102,DOHWA INDIA PRIVATE LIMITED,20-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,70,00,000 "," ? 1,70,00,000 ",71,Architectural and engineering activities and related technical consultancy,"101, Tower A, iThum,Sector-62,Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",abhilash@dohwa.co.kr
103,SPINPLAY GAMES INDIA PRIVATE LIMITED,21-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 40,00,000 "," ? 40,00,000 ",62,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","1170A, 11th floor, Tower B1, Spaze i-Tech Park,,Sector 49, Sohna Road,Sadar Bazar, Gurgaon, Haryana, India - 122001",neha.moolchandani@krayman.com
104,MOTORICA INDIA PRIVATE LIMITED,21-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",28,Manufacture of other special-purpose machinery n.e.c.,"BL-10, SHOP-28, PLOT -1 TO 6 19 TO 26,SECTOR-34, KAMOTHE, PANVEL,Raigad, Raigad, Maharashtra, India - 410209",dap@motorica.org
105,TEKOMPANIET INDIA PRIVATE LIMITED,21-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",10,Processing and blending of tea including manufacture of instant tea,"B 506, 5th Floor, Building No. 83,Chembur Sindhoo CHS Tilak Nagar, Chembur,Mumbai, Mumbai, Maharashtra, India - 400089",info@tekompaniet.com
106,EDUEXPACT PRIVATE LIMITED,21-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",85,Educational support services,"701 MARUTI PLAZA,BEHIND SATMEV HOSPITAL,Gandhinagar, Ahmedabad, Gujarat, India - 382424",neelam@globalselect.com.au
107,ISON TOWER PRIVATE LIMITED,21-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",61,Other telecommunications activities,"FLAT NO. 1009-1013, 10TH FLOOR,,AMBADEEP BUILDING-14, KASTURBA GANDHI MARG,New Delhi, Central Delhi, Delhi, India - 110001",amit.sharma@isontower.com
108,MAYR POWER TRANSMISSIONS INDIA PRIVATE LIMITED,22-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 4,25,00,000 "," ? 1,70,00,000 ",29,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.","Office No. 101A, First Floor,,Delta One, Giga Space IT Park,,Pune, Pune, Maharashtra, India - 411014",a.mishra@mv-altios.com
109,TMRW TECHNOLOGY INDIA PRIVATE LIMITED,22-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",62,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","6/12, Primrose Road,,Gurappa Avenue,,Bangalore North, Bangalore, Karnataka, India - 560025",info@tmrw.com
110,KSI TECHNOLOGIES INDIA PRIVATE LIMITED,22-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",28,Manufacture of filtering and purifying machinery or apparatus for liquids and gases," 1, Shyama Palace, Sector 4, Sant Nagar,,Pradhikaran, Moshi, Pune,Khed, Pune, Maharashtra, India - 412105",satishddt@gmail.com
111,STRATEX CONSULTING SERVICES PRIVATE LIMITED,23-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",74,"Other professional, scientific and technical activities n.e.c.","HOUSE NO 219/20, GALI NO 7,HARI NAGAR,Narwana, Jind, Haryana, India - 126116",stratexconsultingservices@gmail.com
112,DELAWARE DIGITAL PRIVATE LIMITED,23-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 4,00,000 "," ? 4,00,000 ",62,Computer consultancy and computer facilities management activities,"219 BASEMENT,L/P VINOBA PURI NAGAR,New Delhi, South Delhi, Delhi, India - 110024",amit.gupta@vikalpsolutions.in
113,FREIGHT CONNECT PRIVATE LIMITED,24-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 60,00,000 "," ? 60,00,000 ",52,Activities of shipping cargo agents,"No. 80, Railway Station Road,Alandur,Saidapet, Kanchipuram, Tamil Nadu, India - 600016",info@freight-connects.com
114,SAY SKY ENTERPRISES PRIVATE LIMITED,24-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",45,"Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers","282C, 12th Cross Street, Krishna Nagar, Level 3,,Iyer Bungalow,,Madurai North, Madurai, Tamil Nadu, India - 625014",velsindiamdu@gmail.com
115,BIZBIMA INSURANCE BROKERS PRIVATE LIMITED,24-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 80,00,000 "," ? 80,00,000 ",66,Activities of insurance agents and brokers,"4th Floor, Brigade Chambers,,No. 88, Gandhi Bazaar Main Road,Bangalore South, Bangalore, Karnataka, India - 560004",pradeep@bizbimabrokers.com
116,TIGERMED MEDICAL INDIA PRIVATE LIMITED,24-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",70,Management consultancy activities,"SHP NO.36&37 GROUND FLOOR, EAZE ZONE MALL, OFF LINK ROAD, CTS NO. 1214/1 OF,VILLAGE MALADSOUTH AT, GOREGAON (W),,Goregaon West, Mumbai, Maharashtra, India - 400104",tanushree.g@tigermedgrp.com
117,MAKARA MARITIME PRIVATE LIMITED,25-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 3,00,000 "," ? 3,00,000 ",78,Human resources provision and management of human resources functions,"House No T-64 New Rohtak Road, Landmark New Rohtak Road,Moti Nagar,New Delhi, Central Delhi, Delhi, India - 110005",arvind.mohan@viridianmaritime.com
118,VIRIDIUM.AI INDIA PRIVATE LIMITED,25-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Flat 112, Tara Residency,,Karve Nagar, S. No 20/2, PMC Office Building,,Pune City, Pune, Maharashtra, India - 411038",shrirang@viridium.ai
119,FLANDOR DISTRIBUTORS INDIA PRIVATE LIMITED,25-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",46,"Wholesale of radio, television and other consumer electronics including CD/DVD players and recorders","73, FRONT BASEMENT, NATIONAL PARK,LAJPAT NAGAR-IV,New Delhi, South Delhi, Delhi, India - 110024",roccompliance80@gmail.com
120,4FORES INDIA PRIVATE LIMITED,25-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 1,00,000 ",35,Electric power generation using solar energy,"Oxy Valley Flat No. A/406,Venkatesh Developers Gat No. 744 Behind Jain College,Haveli, Pune, Maharashtra, India - 412207",chatursing.rajput@4fores.com
121,KEYNIUS INDIA PRIVATE LIMITED,25-04-2023,West Bengal,ROC Kolkata,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 5,00,000 ",62,Other information technology and computer service activities n.e.c,"Godrej Genesis Building Block EP& GP Salt Lake Sector V,Floor 15, Unit 1505,Saltlake, North 24 Parganas, West Bengal, India - 700091",pavitra.mundhra@gmail.com
122,SPROUTS SOFTWARE TECHNOLOGIES PRIVATE LIMITED,25-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"1st floor Gopalakrishna Complex #45/3 Residency Road MG Road,Bangalore 560025,Bangalore North, Bangalore, Karnataka, India - 560025",nagla.avinash@gmail.com
123,GEMINI INTERGALACTIC INDIA PRIVATE LIMITED,25-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 4,10,00,000 "," ? 82,00,000 ",82,Other business support service activities n.e.c.,"001-005, Emaar Digital Greens Tower-A,10th Floor Golf Course Extension Road, Sector-61,Bhondsi, Gurgaon, Haryana, India - 122102",pravjit.tiwana@gemini.com
124,PARKER AVERY INDIA PRIVATE LIMITED,25-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 5,00,000 ",62,Other information technology and computer service activities n.e.c,"S. No. 257/1/2, Florencia,Flat No. C-404, Kaspate Wasti, Wakad,Haveli, Pune, Maharashtra, India - 411057",dinesh.helwade@parkeravery.com
125,HINGE HEALTH INDIA PRIVATE LIMITED,26-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"IndiQube Opal  193, Paramahansa Yogananda Rd, Stage 2, Eshwara Layout, Bengaluru, Karnataka,Indiranagar,Bangalore North, Bangalore, Karnataka, India - 560038",sandeep.lakshmipathy@hingehealth.com
126,W HEALTH STUDIO INDIA PRIVATE LIMITED,26-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",82,Other business support service activities n.e.c.,"Enam Sambhav C-20, G Block,,Bandra-Kurla Complex,,Mumbai, Mumbai, Maharashtra, India - 400051",whvadvisoryindia@gmail.com
127,SUSTAINABLE ENERGY INFRA INVESTMENT MANAGERS PRIVATE LIMITED,26-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 13,00,00,000 "," ? 1,00,000 ",66,Activities auxiliary to financial service activities n.e.c.,"Mahindra Tower Pandurang Budhkar Marg,Near Doordarshan Kendra,Mumbai, Mumbai, Maharashtra, India - 400018",deb_hajara@otpp.com
128,MERCER CONSULTING SOLUTIONS (INDIA) PRIVATE LIMITED,26-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 20,00,000 "," ? 20,00,000 ",70,Management consultancy activities,"Third Floor, Fleet House,Next to Marol Metro Station, Andheri Kurla Road, Andheri East,Mumbai, Mumbai, Maharashtra, India - 400059",inderjot.dang@mercer.com
129,KANWAR ENGINEERING INDIA PRIVATE LIMITED,26-04-2023,Punjab,ROC Chandigarh,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",42,Other civil engineering projects n.e.c.,"CAPTAIN BHAJAN SINGH,AZAD NAGAR,Dhuri, Sangrur, Punjab, India - 148024",reachbhajansingh@gmail.com
130,ASAPP SERVICES INDIA PRIVATE LIMITED,26-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Survey No 414/190/13, Suite No 208, 2nd Floor,PSR Complex, Govinda Reddy Layout,Bangalore South, Bangalore, Karnataka, India - 560076",corporate.governance@vistra.com
131,TYK CERAMICS INDIA PRIVATE LIMITED,26-04-2023,West Bengal,ROC Kolkata,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 2,00,00,000 "," ? 2,00,00,000 ",23,Manufacture of other refractory articles n.e.c.,"UNIT NO. 312, Block-1, 3RD FLOOR QUBE, Plot no. II D/31/1, Street no.- 1111, New Town,Beside City Centre 2, Kolkata,Matiaghata, North 24 Parganas, West Bengal, India - 700135",tyk-ceramics-india@tyk.jp
132,SNAPPCOINS GLOBAL PRIVATE LIMITED,26-04-2023,Punjab,ROC Chandigarh,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"10221, 22ND/F,TOWER-10,ATS CASA ESPANA SEC-121,S.A.S.Nagar (Mohali), Rupnagar, Punjab, India - 160055",kamalmatta@gmail.com
133,SIMPLO TECHNOLOGY (INDIA) PRIVATE LIMITED,26-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",27,Manufacture of other electrical equipment,"226C/31A RAJAGRAMANI,GARDEN, MANDAVELI,,Chennai City Corporation, Chennai, Tamil Nadu, India - 600028",raymond_sung@simplo.com.tw
134,TALENTSMITH PRIVATE LIMITED,27-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"PLOT NO D-107,SECTOR 2,Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Pratul.Gautam@hellokindred.com
